nome,tipo scena,illuminazione,tipo ground truth,formato immagine,camere,# immagini,risoluzione,annotazioni extra,disponibilità,doi/url

color checker (gehler-shi),indoor+outdoor,single,macbeth colorchecker,raw+tiff,canon 1d; canon 5d,568,3504x2336 / 4368x2912,"illuminante rgb, wb multipliers, pos chart",pubblico,10.1109/cvpr.2008.4587647
cube++,outdoor,single,macbeth colorchecker,raw+srgb,canon eos 550d,1365,5184x3456,"bounding box chart, illuminante rgb, srgb preview",pubblico (mit),10.1109/iwicp50038.2020.9274112
intel-tau,indoor+outdoor,single,image raw associata con colorchecker,tiff (16bit raw),canon 5dsr; nikon d810; sony imx135,7022,8896x5920 / 7380x4928 / 3264x2448,"gt rgb, gdpr-masked, color shading info, spettro sensore/luci",pubblico,http://urn.fi/urn:nbn:fi:att:f8b62270-d471-4036-b427-f21bce32b965
nus 8-camera,indoor+outdoor,single,macbeth colorchecker,raw,canon1; canon2; fuji; nikon; oly; pan; sam; sony,1736,variabile,"stesse scene per tutte le camere, gt rgb, confronto cross-camera",pubblico,10.1364/josaa.31.001049

beigpour multi-illuminant,indoor (lab),multi,per-pixel (reflectance. shading. illuminant. specular),raw+srgb,nikon d300 + kinect v2,~1500,4288x2848 + vga,"gt completo per-pixel, depth sparsa, spettro sorgenti",pubblico,http://www.cg.informatik.uni-siegen.de/data/iccv2015/intrinsic
sfu gray sphere,indoor+outdoor,multi,gray sphere in frame,jpeg/png,sony vx-2000,11000,~720x480,"dominant+secondary illuminant rgb, chromaticity rg, scene distribuzioni",pubblico,http://www.cs.sfu.ca/~colour/data/
lsmi,indoor,multi,per-pixel via illuminant mixing,raw,note20 ultra; $\alpha$9; d810,7486,variabile,"per-pixel gt, mappe miscelazione, colorchecker, relighting",pubblico,10.48550/arxiv.2108.08155
flying gray ball,indoor,multi,per-pixel (sparso. da gray ball),raw+tiff+jpg,canon 5d mk ii,1300,5616x3744,"coordinate ball, rgb locale, segmentazione, metadati luce",pubblico,10.2352/issn.2470-1173.2020.8.colour-107
